Order ID,Customer ID,Date,Time (Hr/Min),Customer Age Range,Gender,Product Type,Product Category,Product Name,Quantity,Unit Price,Tax Amount,Unit Cost,Cost,Shipping Method,Shipping Cost,Total Sales,Profit,Purchase Type,Channel,Country,City,Xmas Budget,Payment Method,Promotion Applied
ORD202100000,CUST3642721,29-11-2023,02:11,18 over,Female,Children,Clothing,The North Face Jacket,1,165.77,4.14,48.87,48.87,Express,5.57,175.48,126.61,Xmas Market,In-store,Italy,Krakow,Medium,Cash,No
ORD202100001,CUST8900939,14-10-2021,08:11,18 over,Male,Teen,Toys,Hot Wheels Car Set,2,154.53,6.18,45.27,90.54,Standard,4.33,319.57,229.03,Xmas Market,In-store,Sweden,Utrecht,Low,Cash,No
ORD202100002,CUST4359007,18-06-2024,14:38,18 over,Male,Children,Kitchen Appliances,Dolce Gusto Coffee Machine,1,153.06,4.59,48.76,48.76,Standard,5.2,162.85,114.09,Online,Online,Poland,Milan,Medium,Cash,No
ORD202100003,CUST8668442,24-02-2023,04:18,12 to 17,Male,Children,Accessories,Wireless Earbuds,1,78.51,2.36,30.1,30.1,Standard,5.38,86.25,56.15,Xmas Market,In-store,Poland,Milan,Low,Other,No
ORD202100004,CUST5307999,02-12-2022,18:28,18 over,Female,Children,Accessories,Samsung Galaxy Case,2,146.04,5.84,42.4,84.8,Standard,4.33,302.25,217.45,Online,Online,Belgium,Gothenburg,High,PayPal,No
ORD202100005,CUST5149460,27-10-2025,06:39,18 over,Male,Teen,Video Games,PlayStation 5 Game,1,159.87,3.2,49.09,49.09,Standard,3.9,166.97,117.88,In-store,In-store,Italy,Amsterdam,Low,Debit Card,No
ORD202100006,CUST9970138,11-02-2021,10:16,12 to 17,Female,Children,Puzzles,Harry Potter Puzzle,1,175.62,4.39,69.32,69.32,Standard,3.15,183.16,113.84,Online,Online,United Kingdom,Naples,Medium,Cash,No
ORD202100007,CUST9652228,04-11-2025,16:32,18 over,Female,Adult,Electronics,JBL Headphones,1,159.63,3.19,48.89,48.89,Pickup,0,162.82,113.93,In-store,In-store,Italy,Vienna,High,Other,No
ORD202100008,CUST7043546,29-09-2022,23:37,12 to 17,Female,Teen,Board Games,Chess Set,1,152.42,3.81,41.41,41.41,Express,9.77,166,124.59,Online,Online,Austria,Coimbra,Low,Cash,No
ORD202100009,CUST5150073,19-10-2023,16:28,18 over,Male,Adult,Home,Robot Vacuum,1,256.53,6.41,92.87,92.87,Express,8.74,271.68,178.81,Online,Online,France,Amsterdam,Low,Cash,No
ORD202100010,CUST7156922,17-04-2024,11:29,1 to 11,Male,Children,Building Sets,LEGO Star Wars Set,1,165.13,3.3,44.56,44.56,Standard,2.58,171.01,126.45,Xmas Market,In-store,United Kingdom,Gothenburg,High,Other,No
